continent,country,capital_city,life_score,happiness_level,income_level,live_cost, rent_price ,total_score
Africa,Tanzania,Dodoma,Bad,Bad, 73 ," 1,862 ", 996 ,0.5
Asia,Thailand,Bangkok,Good,Good, 493 ," 2,102 "," 1,276 ",4.2
Africa,Togo,Lome,Bad,Bad, 49 ," 1,094 ", 475 ,2.68
Oceania,Tonga,Nukualofa,Okay,null, 312 ," 2,964 ", 879 ,2.59
America,Trinidad and Tobago,Port of Spain,Okay,Good," 1,471 "," 3,763 "," 1,219 ",2.32
Africa,Tunisia,Tunis,Okay,Bad, 305 ," 1,931 ", 426 ,2.87
Asia,Turkey,Ankara,Okay,Okay, 905 ," 1,340 ", 392 ,2.95
Asia,Turkmenistan,Ashgabat,Okay,Okay, 532 ," 4,674 ", 767 ,2.16
Oceania,Tuvalu,Funafuti,Okay,null, 257 ," 3,045 "," 1,066 ",2.42
Africa,Uganda,Kampala,Okay,Bad, 51 ," 1,707 ", 595 ,2.89
Europe,Ukraine,Kyiv,Bad,Bad, 175 ," 1,210 ", 381 ,0.5
Asia,United Arab Emirates,Abu Dhabi,Okay,Good," 3,135 "," 4,475 "," 3,037 ",2.52
Europe,United Kingdom,London,Good,Good," 3,354 "," 6,290 "," 3,340 ",3.27
America,United States,Washington DC,Good,Good," 4,817 "," 5,381 "," 2,090 ",2.91
America,United States Virgin Islands,Charlotte Amalie,Okay,null, 1 ," 8,725 "," 1,927 ",2.15
America,Uruguay,Montevideo,Good,Good," 1,268 "," 2,974 ", 892 ,2.67
Asia,Uzbekistan,Tashkent,Okay,Okay, 176 ," 1,560 ", 353 ,3.03
Oceania,Vanuatu,Port Vila,Okay,null, 258 ," 3,733 "," 1,171 ",2.27
Europe,Vatican City,Vatican City,Okay,null, 1 ," 5,359 "," 3,868 ",2.06
America,Venezuela,Caracas,Okay,Okay, 769 ," 2,264 ", 905 ,2.34
Asia,Vietnam,Hanoi,Okay,Bad, 181 ," 1,162 ", 478 ,3.26
Africa,Western Sahara,Laayoune,Okay,null, 1 ," 1,885 ", 624 ,2.4
Asia,Yemen,Sanaa,Bad,Bad, 77 ," 1,544 ", 626 ,0.5
Africa,Zambia,Lusaka,Okay,Bad," 2,461 "," 2,508 ", 307 ,2.49
Africa,Zimbabwe,Harare,Okay,Bad, 83 ," 2,188 ", 569 ,3.06
